Abbreviation,VARIABLE,International_Destination,Year,Value
BRA,ITA,Italy,2009,188892
BRA,ITA,Italy,2010,234199
BRA,ITA,Italy,2011,293309
BRA,ITA,Italy,2012,310575
BRA,ITA,Italy,2013,394696
BRA,ITA,Italy,2014,440753
BRA,ITA,Italy,2015,461416
BRA,ITA,Italy,2016,494283
BRA,ITA,Italy,2017,524514
BRA,ITA,Italy,2018,533250
AUS,CHN,China,2008,273200
AUS,CHN,China,2009,258800
AUS,CHN,China,2010,328500
AUS,CHN,China,2011,356200
AUS,CHN,China,2012,373600
AUS,CHN,China,2013,390000
AUS,CHN,China,2014,399900
AUS,CHN,China,2015,422700
AUS,CHN,China,2016,464100
AUS,CHN,China,2017,541100
AUS,CHN,China,2018,593700
AUS,CHN,China,2019,607700
AUS,CHN,China,2020,122100
AUS,CHN,China,2021,4800
DEU,AUT,Austria,2012,11973932
DEU,AUT,Austria,2013,11812136
DEU,AUT,Austria,2014,10574871
DEU,AUT,Austria,2015,10544493
DEU,AUT,Austria,2016,11379674
DEU,AUT,Austria,2017,11274997
DEU,AUT,Austria,2018,14395603.24
DEU,AUT,Austria,2019,11718287
DEU,AUT,Austria,2020,7494027
DEU,FRA,France,2012,5525894
DEU,FRA,France,2013,5222570
DEU,FRA,France,2014,5472093
DEU,FRA,France,2015,4837612
DEU,FRA,France,2016,5158745
DEU,FRA,France,2017,6231466
DEU,FRA,France,2018,6143330.822
DEU,FRA,France,2019,6467657
DEU,FRA,France,2020,2653406
DEU,ITA,Italy,2012,10734702
DEU,ITA,Italy,2013,10471824
DEU,ITA,Italy,2014,9485428
DEU,ITA,Italy,2015,10645721
DEU,ITA,Italy,2016,11548473
DEU,ITA,Italy,2017,10972666
DEU,ITA,Italy,2018,13572692.39
DEU,ITA,Italy,2019,11633147
DEU,ITA,Italy,2020,4151171
DEU,NLD,Netherlands,2013,5294242
DEU,NLD,Netherlands,2015,4839178
DEU,NLD,Netherlands,2016,6763021
DEU,NLD,Netherlands,2017,5672860
DEU,NLD,Netherlands,2018,7413346.751
DEU,NLD,Netherlands,2019,7090968
DEU,NLD,Netherlands,2020,4081705
DEU,ESP,Spain,2012,9956971
DEU,ESP,Spain,2013,9972999
DEU,ESP,Spain,2014,9143204
DEU,ESP,Spain,2015,10242453
DEU,ESP,Spain,2016,10392755
DEU,ESP,Spain,2017,11092772
DEU,ESP,Spain,2018,11671678.42
DEU,ESP,Spain,2019,10984639
DEU,ESP,Spain,2020,2716432
DEU,TUR,T¨¹rkiye,2012,4617678
DEU,TUR,T¨¹rkiye,2014,4893317
NLD,ITA,Italy,2008,1015000
NLD,ITA,Italy,2009,992000
NLD,ITA,Italy,2010,1009000
NLD,ITA,Italy,2011,992000
NLD,ITA,Italy,2012,1030000
NLD,ITA,Italy,2013,1107000
NLD,ITA,Italy,2014,1091000
NLD,ITA,Italy,2015,1060000
NLD,ITA,Italy,2016,1175000
NLD,ITA,Italy,2017,1462000
NLD,ITA,Italy,2018,1440000
NLD,ITA,Italy,2019,1322000
NLD,ITA,Italy,2020,533000
NLD,ITA,Italy,2021,970000
POL,HRV,Croatia,2014,570323
POL,HRV,Croatia,2015,632334
POL,HRV,Croatia,2016,661302
POL,HRV,Croatia,2017,683762
POL,HRV,Croatia,2018,703409
POL,HRV,Croatia,2020,431704
POL,HRV,Croatia,2021,491800
POL,CZE,Czech Republic,2014,495055
POL,CZE,Czech Republic,2015,584704
POL,CZE,Czech Republic,2016,654987
POL,CZE,Czech Republic,2017,725347
POL,CZE,Czech Republic,2018,761949
POL,CZE,Czech Republic,2019,790306
POL,CZE,Czech Republic,2020,409547
POL,CZE,Czech Republic,2021,383345
POL,DEU,Germany,2014,2060809
POL,DEU,Germany,2015,2198731
POL,DEU,Germany,2016,2310056
POL,DEU,Germany,2017,2356548
POL,DEU,Germany,2018,2438093
POL,DEU,Germany,2019,2522945
POL,DEU,Germany,2020,1603484
POL,DEU,Germany,2021,1796789
POL,GRC,Greece,2018,751580
POL,GRC,Greece,2019,857479
POL,GRC,Greece,2021,451497
POL,ITA,Italy,2014,826608
POL,ITA,Italy,2015,879011
POL,ITA,Italy,2016,936111
POL,ITA,Italy,2017,999935
POL,ITA,Italy,2018,1055127
POL,ITA,Italy,2019,1114411
POL,ITA,Italy,2020,392620
POL,ITA,Italy,2021,383408
POL,GBR,United Kingdom,2014,872396
POL,GBR,United Kingdom,2015,855532
POL,GBR,United Kingdom,2016,915243
POL,GBR,United Kingdom,2017,970504
POL,GBR,United Kingdom,2018,1031074
POL,GBR,United Kingdom,2019,1099597
POL,GBR,United Kingdom,2020,437002
BRA,MEX,Mexico,2008,76491
BRA,MEX,Mexico,2009,68211
BRA,MEX,Mexico,2010,117658
BRA,MEX,Mexico,2011,196266
BRA,MEX,Mexico,2012,233931
BRA,MEX,Mexico,2013,260220
BRA,MEX,Mexico,2014,300919
BRA,MEX,Mexico,2015,286807
BRA,MEX,Mexico,2016,283327
BRA,MEX,Mexico,2017,345922
BRA,MEX,Mexico,2018,351373
BGR,DEU,Germany,2008,332643
BGR,DEU,Germany,2009,227084
BGR,DEU,Germany,2010,157724
BGR,DEU,Germany,2011,163314
BGR,DEU,Germany,2012,189574
BGR,DEU,Germany,2013,219950
BGR,DEU,Germany,2014,239310
BGR,DEU,Germany,2015,272867
BGR,DEU,Germany,2016,344713
BGR,DEU,Germany,2017,402111
BGR,DEU,Germany,2018,422268
BGR,DEU,Germany,2019,446045
CRI,PAN,Panama,2015,195267
CRI,PAN,Panama,2016,193353
CRI,PAN,Panama,2017,240983
CRI,PAN,Panama,2018,300967
CRI,PAN,Panama,2019,310028
CRI,PAN,Panama,2020,89147
CRI,PAN,Panama,2021,127567
CRI,USA,United States,2015,229638
CRI,USA,United States,2016,278666
CRI,USA,United States,2017,253502
CRI,USA,United States,2018,250750
CRI,USA,United States,2019,280341
CRI,USA,United States,2020,94026
CRI,USA,United States,2021,245088
CRI,AMERC,Central America,2015,449046
CRI,AMERC,Central America,2016,464245
CRI,AMERC,Central America,2017,587995
CRI,AMERC,Central America,2018,583080
CRI,AMERC,Central America,2019,603801
CRI,AMERC,Central America,2020,167234
CRI,AMERC,Central America,2021,221648
CRI,AMERN,North America,2015,307789
CRI,AMERN,North America,2016,382063
CRI,AMERN,North America,2017,370825
CRI,AMERN,North America,2018,375637
CRI,AMERN,North America,2019,417976
CRI,AMERN,North America,2020,130673
CRI,AMERN,North America,2021,332831
CRI,NIC,Nicaragua,2015,187682
CRI,NIC,Nicaragua,2016,189069
CRI,NIC,Nicaragua,2017,220054
CRI,NIC,Nicaragua,2018,141178
CRI,NIC,Nicaragua,2019,151476
CRI,NIC,Nicaragua,2020,46908
CRI,NIC,Nicaragua,2021,44201
RUS,CHN,China,2014,1730618
RUS,CHN,China,2015,1284324
RUS,CHN,China,2016,1676214
RUS,CHN,China,2017,2003419
RUS,CHN,China,2018,2018226
RUS,CHN,China,2019,2333708
RUS,EST,Estonia,2014,1774813
RUS,EST,Estonia,2015,1476915
RUS,EST,Estonia,2016,1511413
RUS,EST,Estonia,2017,1727713
RUS,EST,Estonia,2018,1797607
RUS,EST,Estonia,2019,1807779
RUS,FIN,Finland,2014,4283323.371
RUS,FIN,Finland,2015,3066657.954
RUS,FIN,Finland,2016,2894394.357
RUS,FIN,Finland,2017,3333061.544
RUS,FIN,Finland,2018,3361389.433
RUS,FIN,Finland,2019,3652667.244
RUS,DEU,Germany,2014,1434587.062
